1986,1,That's What Friends Are For,Dionne Warwick & Friends
1986,10,Addicted to Love,Robert Palmer
1986,2,Say You Say Me,Lionel Richie
1986,3,I Miss You,Klymaxx
1986,4,On My Own,Patti LaBelle and Michael McDonald
1986,5,Broken Wings,Mr. Mister
1986,6,How Will I Know,Whitney Houston
1986,7,Party All The Time,Eddy Murphy
1986,8,Burning Heart,Survivor
1986,9,Kyrie,Mr. Mister
1987,1,Walk Like An Egyptian,The Bangles
1987,10,Livin' on a Prayer,Bon Jovi
1987,2,Alone,Heart
1987,3,Shake You Down,Gregory Abbott
1987,4,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
1987,5,Nothing's Gonna Stop Us Now,Starship
1987,6,C'est La Vie,Robbie Nevil
1987,7,Here I Go Again,Whitesnake
1987,8,The Way It Is,Bruce Hornsby and the Range
1987,9,Shakedown,Bob Seger
1988,1,Faith,George Michael
1988,10,Roll With It,Steve Winwood
1988,2,Need You Tonight,INXS
1988,3,Got My Mind Set On You,George Harrison
1988,4,Never Gonna Give You Up,Rick Astley
1988,5,Sweet Child O' Mine,Guns n' Roses
1988,6,So Emotional,Whitney Houston
1988,7,Heaven Is a Place on Earth,Belinda Carlisle
1988,8,Could've Been,Tiffany
1988,9,Hands to Heaven,Breathe
1989,1,Look Away,Chicago
1989,10,Giving You The Best That I Got,Anita Baker
1989,2,My Prerogative,Bobby Brown
1989,3,Every Rose Has Its Thorn,Poison
1989,4,Straight up,Paula Abdul
1989,5,Miss You Much,Janet Jackson
1989,6,Cold Hearted,Paula Abdul
1989,7,Wind Beneath My Wings,Bette Midler
1989,8,Girl You Know It's True,Milli Vanilli
1989,9,Baby I Love Your Way:Freebird Medley,Will to Power
1990,1,Hold On,Wilson Phillips
1990,10,Blaze Of Glory,Jon Bon Jovi
1990,2,It Must Have Been Love,Roxette
1990,3,Nothing Compares 2 U,Sinead O'Connor
1990,4,Poison,Bell Biv DeVoe
1990,5,Vogue,Madonna
1990,6,Vision Of Love,Mariah Carey
1990,7,Another Day In Paradise,Phil Collins
1990,8,Hold On,En Vogue
1990,9,Cradle Of Love,Billy Idol
1991,1,(Everything I Do) I Do It for You,Bryan Adams
1991,10,Baby Baby,Amy Grant
1991,2,I Wanna Sex You Up,Color Me Badd
1991,3,Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory
1991,4,Rush Rush,Paula Abdul
1991,5,One More Try,Timmy T
1991,6,Unbelievable,EMF
1991,7,More Than Words,Extreme
1991,8,I Like the Way (The Kissing Game),Hi-Five
1991,9,The First Time,Surface
1992,1,End Of The Road,Boys II Men
1992,10,Just Another Day,Jon Secada
1992,2,Baby Got Back,Sir Mix A Lot
1992,3,Jump,Kriss Kross
1992,4',Save The Best For Last,Vanessa Williams
1992,5,Baby-Baby-Baby,TLC
1992,6,Tears In Heaven,Eric Clapton
1992,7,My Lovin' (You're Never Gonna Get It),En Vogue
1992,8,Under the Bridge,Red Hot Chili Peppers
1992,9,All 4 Love,Color Me Badd
1993,1,I Will Always Love You,Whitney Houston
1993,10,Informer,Snow
1993,2,Whoomp! (There It Is),Tag Team
1993,3,Can't Help Falling In Love,UB40
1993,4,That's The Way Love Goes,Janet Jackson
1993,5,Freak Me,Silk
1993,6,Weak,SWV.
1993,7,If I Ever Fall in Love,Shai
1993,8,Dreamlover,Mariah Carey
1993,9,Rump Shaker,Wreckx N Effect
1994,1,The Sign,Ace of Base
1994,10,Don't Turn Around,Ace of Base
1994,2,I Swear,All-4-One
1994,3,I'll Make Love To You,Boyz II Men
1994,4,The Power of Love,Celine Dion
1994,5,Hero,Mariah Carey
1994,6,Stay (I Missed You),Lisa Loeb and Nine Stories
1994,7,Breathe Again,Toni Braxton
1994,8,All for Love,Bryan Adams Rod Stewart and Sting
1994,9,All That She Wants,Ace of Base
1995,1,Gangsta's Paradise,Coolio ft. L.V.
1995,10,This Is How We Do It,Montell Jordan
1995,2,Waterfalls,TLC
1995,3,Creep,TLC
1995,4,Kiss From A Rose,Seal
1995,5,On Bended Knee,Boyz II Men
1995,6,Another Night,Real McCoy
1995,7,Fantasy,Mariah Carey
1995,8,Take a Bow,Madonna
1995,9,Don't Take It Personal (Just One of Dem Days),Monica
1996,1,Macarena,Los Del Rio
1996,10,Twisted,Keith Sweat
1996,2,One Sweet Day,Mariah Carey and Boyz II Men
1996,3,Because You Loved Me,Celine Dion
1996,4,Nobody Knows,The Tony Rich Project
1996,5,Always Be My Baby,Mariah Carey
1996,6,Give Me One Reason,Tracy Chapman
1996,7,Tha Crossroads,Bone Thugs-N-Crossroads
1996,8,I Love You Always Forever,Donna Lewis
1996,9,Let It Flow,Toni Braxton
1996,9,You're Makin' Me High,Toni Braxton
1997,1,Candle In the Wind 1997,Elton John
1997,1,Something About The Way You Look Tonight,Elton John
1997,10,Wannabe,Spice Girls
1997,2,Foolish Games,Jewel
1997,2,You Were Meant For Me,Jewel
1997,3,I'll Be Missing You,Puff Daddy ft. Faith Evans and 112
1997,4,Un-Break My Heart,Toni Braxton
1997,5,Can't Nobody Hold Me Down,Puff Daddy ft. Mase
1997,6,I Believe I Can Fly,R. Kelly
1997,7,Don't Let Go (Love),En Vogue
1997,8,Return of the Mack,Mark Morrison
1997,9,How Do I Live,LeAnn Rimes
1998,1,Too Close,Next
1998,10,I Don't Want To Wait,Paula Cole
1998,2,The Boy Is Mine,Brandy & Monica
1998,3,You're Still The One,Shania Twain
1998,4,Truly Madly Deeply,Savage Garden
1998,5,How Do I Live,LeAnn Rimes
1998,6,Together Again,Janet
1998,7,All My Life,K-Ci & Jojo
1998,8,Candle In the Wind 1997,Elton John
1998,9,Nice & Slow,Usher
1999,1,Believe,Cher
1999,10,Livin' la Vida Loca,Ricky Martin
1999,2,No Scrubs,TLC
1999,3,Angel Of Mine,Monica
1999,4,Heartbreak Hotel,Whitney Houston ft Faith Evans and Kelly Price
1999,5,Baby One More Time,Britney Spears'
1999,6,Kiss Me,Sixpence None the Richer
1999,7,Genie in a Bottle,Christina Aguilera
1999,8,Every Morning,Sugar Ray
1999,9,Nobody's Supposed To Be Here,Deborah Cox
2000,1,Breathe,Faith Hill
2000,10,He Wasn't Man Enough,Toni Braxton
2000,2,Smooth,Santana ft. Rob Thomas
2000,3,Maria Maria,Santana ft. The Product G&B
2000,4,I Wanna Know,Joe.m4a
2000,5,Everything You Want,Vertical Horizon.m4a
2000,6,Say My Name,Destiny's Child
2000,7,I Knew I Loved You,Savage Garden
2000,8,Amazed,Lonestar
2000,9,Bent,Matchbox Twenty
2001,1,Hanging By A Moment,Lifehouse
2001,10,Independent Women,Destiny's Child
2001,2,Fallin',Alicia Keys
2001,3,All For You (Video Single Mix),Janet
2001,4,Drops Of Jupiter (Tell Me),Train'
2001,5,I'm Real,Jennifer Lopez ft. Ja Rule
2001,6,If You're Gone,Matchbox Twenty
2001,7,Let Me Blow Ya Mind.Eve ft. Gwen Stefani
2001,8,Thank You,Dido
2001,9,Again,Lenny Kravitz
2002,1,How You Remind Me,NickelBack
2002,10,Blurry,Puddle of Mudd
2002,2,Foolish,Ashanti
2002,3,Hot In Herre,Nelly
2002,4,Dilemma,Nelly ft. Kelly Rowland
2002,5,Wherever You Will Go,The Calling
2002,6,A Thousand Miles,Vanessa Carlton
2002,7,In The End,Linkin Park
2002,8,What's Luv?,Fat Joe ft. Ashanti
2002,9,U Got It Bad,Usher
2003,1,In Da Club,50 Cent
2003,10,Bring Me To Life,Evanescence 
2003,2,Ignition,R. Kelly
2003,3,Get Busy,Sean Paul
2003,4,Crazy In Love,Beyoncé ft. Jay Z
2003,5,When I'm Gone,3 Doors Down
2003,6,Unwell,Matchbox Twenty
2003,7,Right Thurr,Chingy.m4a
2003,8,Miss You,Aaliyah
2003,9,Picture,Kid Rock ft. Sheryl Crow
2004,1,Yeah!,Usher Featuring Lil Jon & Ludacris
2004,10,Lean Back,Terror Squad
2004,2,Burn,Usher
2004,3,If I Ain't Got You,Alicia Keys
2004,4,This Love,Maroon 5
2004,5,The Way You Move,Outkast ft. Sleepy Brown
2004,6,The Reason,Hoobastank
2004,7,I Don't Wanna Know,Mario Winans ft. Enya and P.Diddy
2004,8,Hey Ya!,Outkast
2004,9,Goodies,Ciara ft. Petey Pablo
2005,1,We Belong Together,Mariah Carey
2005,10,Behind These Hazel Eyes,Kelly Clarkson
2005,2,Hollaback Girl,Gwen Stefani
2005,3,Let Me Love You,Mario
2005,4,Since U Been Gone,Kelly Clarkson
2005,5,1,2 Step,Ciara ft. Missy Elliott.m4a
2005,6,Gold Digger,Kanye West ft. Jamie Foxx
2005,7,Boulevard Of Broken Dreams,Green Day
2005,8,Candy Shop,50 Cent ft. Olivia
2005,9,Don't Cha,Pussycat Dolls ft. Busta Rhymes
2006,1,Bad Day,Daniel Powter
2006,10,Check on It,Beyonce ft. Slim Thug
2006,2,Temperature,Sean Paul
2006,3,Promiscuous,Nelly Furtado ft. Timbaland
2006,4,You're Beautiful,James Blunt
2006,5,Hips Don't Lie,Shakira ft. Wyclef Jean
2006,6,Unwritten,Natasha Bedingfield.m4a
2006,7,Crazy,Gnarls Barkley
2006,8,Ridin',Chamillionaire ft. Krayzie Bone
2006,9,Sexyback,Justin Timberlake ft. Timbaland
2007,1,Irreplaceable,Beyonce
2007,10,Glamorous,Fergie ft. Ludacris
2007,2,Umbrella,Rihanna ft.Jay-Z
2007,3,The Sweet Escape,Gwen Stefani ft. Akon
2007,4,Big Girls Don't Cry,Fergie
2007,5,Buy U a Drank (Shawty Snappin),T-Pain ft. Yunc Joc
2007,6,Before He Cheats,Carrie Underwood
2007,7,Hey There Deliah,Plain White T's
2007,8,I Wanna Love You,Akon ft. Snoop Dogg
2007,9,Say It Right,Nelly Furtado
2008,1,Low,Flo Rida Ft. T-Pain - Low (New Radio Mix)
2008,10,Forever,Chris Brown
2008,2,Bleeding Love,Leona Lewis
2008,3,No One,Alicia Keys
2008,4,Lollipop,Lil Wayne ft. Static Major
2008,5,Apologize,Timbaland ft. OneRepublic
2008,6,No Air,Jordin Sparks and Chris Brown
2008,7,Love Song,Sara Bareilles
2008,8,Love In This Club,Usher ft. Young Jeezy
2008,9,With You,Chris Brown
2009,1,Boom Boom Pow,Black Eyed Peas
2009,10,Gives You Hell,The All-American Rejects
2009,3,Just Dance,Lady Gaga
2009,3,Poker Face,Lady Gaga ft. Colby O'Donis
2009,4,I Gotta Feeling,The Black Eyed Peas 
2009,5,Love Story,Taylor Swift
2009,6,Right Round,Flo Rida
2009,7,I'm Yours,Jason Mraz
2009,8,Single Ladies (Put a Ring on It),Beyonce
2009,9,Heartless,Kanye West
2010,1,TiK ToK,Kesha
2010,10,Break Your Heart,Taio Cruz ft. Ludacris
2010,2,Need You Now,Lady Antebellum
2010,3,Hey, Soul Sister,Train
2010,4,California Gurls,Katy Perry ft. Snoop Dogg
2010,5,OMG,Usher ft. will.i.am
2010,6,Airplanes,B.o.B ft. Hayley Williams
2010,7,Love the Way You Lie,Eminem ft. Rihanna
2010,8,Bad Romance,Lady Gaga
2010,9,Dynamite,Taio Cruz
2011,1,Rolling In the Deep,Adele
2011,10,Just Can't Get Enough,The Black Eyed Peas
2011,2,Party Rock Anthem,LMFAO ft. Lauren Bennett & GoonRock
2011,3,Firework,Katy Perry
2011,4,E.T.,Katy Perry ft. Kanye West
2011,5,Give Me Everything,Pitbull ft. Ne-Yo, Afrojack & Nayer
2011,6,Grenade,Bruno Mars
2011,7,Fuck You (Forget You),Cee Lo Green
2011,8,Super Bass,Nicki Minaj
2011,9,Moves Like Jagger,Maroon 5 ft. Christina Aguilera
2012,1,Somebody That I Used to Know,Gotye ft. Kimbra
2012,10,What Makes You Beautiful,One Direction
2012,2,Call Me Maybe,Carly Rae Jepsen
2012,3,We Are Young,fun ft. Janelle Monae
2012,4,Payphone,Maroon 5 ft. Wiz Khalifa
2012,5,Lights,Ellie Goulding
2012,6,Glad You Came,The Wanted
2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson
2012,8,We Found Love,Rihanna ft. Calvin Harris
2012,9,Starships,Nicki Minaj
2013,1,Thrift Shop,Macklemore & Ryan Lewis ft. Wanz
2013,10,Roar,Katy Perry
2013,2,Blurred Lines,Robin Thicke ft. T.I. and Pharell
2013,3,Radioactive,Imagine Dragons
2013,4,Harlem Shake,Baauer
2013,5,Can't Hold Us,Macklemore & Ryan Lewis ft. Ray Dalton
2013,6,Mirrors,Justin Timberlake
2013,7,Just Give Me a Reason,P!nk ft. Nate Ruess
2013,8,When I Was Your Man,Bruno Mars
2013,9,Cruise,Florida Georgia Line ft. Nelly
2014,1,Happy,Pharrell Williams
2014,10,Stay With Me,Sam Smith
2014,2,Dark Horse,Katy Perry ft. Juicy J
2014,3,All Of Me,John Legend
2014,4,Fancy,Iggy Azaela ft. Charli XCX
2014,5,Counting Stars,OneRepublic
2014,6,Talk Dirty,Jason Derulo ft. 2 Chainz
2014,7,Rude,MAGIC!
2014,8,All About That Bass,Meghan Trainor
2014,9,Problem,Ariana Grande ft. Iggy Azaela
2015,1,Uptown Funk,Mark Ronson ft. Bruno Mars
2015,10,Cheerleader (Felix Jaehn Remix Radio Edit),OMI
2015,2,Thinking Out Loud,Ed Sheeran
2015,3,See You Again,Wiz Khalifa
2015,4,Trap Queen,Fetty Wap
2015,5,'Sugar,Maroon 5
2015,6,Shut Up And Dance,Walk The Moon
2015,7,Blank Space,Taylor Swift
2015,8,Watch Me,Silento
2015,9,Earned It (Fifty Shades Of Grey),The Weeknd
